,preCloseIndex,openIndex,lowestIndex,highestIndex,turnoverVol,closeIndex,label,,,,,
92,14.0304004,14.0565002,14.0565002,14.2018994,39793700,14.0866003,14.1340002,14.1406006,13.8881006,14.1912,45179900,13.9070996
93,14.0866003,14.0835999,14.0687,14.2440002,38364800,14.2356995,13.9070996,13.9082996,13.9022998,13.9906995,39559600,13.9434998
94,14.2356995,14.2389001,14.1434998,14.2581995,38425900,14.2534998,13.9434998,13.9219995,13.7371997,13.9219995,35163800,13.7593005
95,14.2534998,14.2528003,14.2163,14.4023999,36839700,14.2663,13.7593005,13.7596997,13.7306995,13.8740002,35888600,13.8534998
96,14.2663,14.2448999,14.0908997,14.2448999,38543200,14.1340002,13.8534998,13.8654004,13.7816003,13.9125,39272400,13.9083997
97,14.1340002,14.1406006,13.8881006,14.1912,45179900,13.9070996,13.9083997,13.905,13.8858997,14.0631995,38944400,13.9826001
98,13.9070996,13.9082996,13.9022998,13.9906995,39559600,13.9434998,13.9826001,13.9835999,13.9807996,14.0445996,38456300,14.0038
99,13.9434998,13.9219995,13.7371997,13.9219995,35163800,13.7593005,14.0038,13.9962,13.7779004,13.9962,37143200,13.8567004
100,13.7593005,13.7596997,13.7306995,13.8740002,35888600,13.8534998,13.8567004,13.8642004,13.7012,13.9312,43963800,13.7765002
101,13.8534998,13.8654004,13.7816003,13.9125,39272400,13.9083997,13.7765002,13.7626001,13.7173999,13.8818005,43386400,13.7719995
102,13.9083997,13.905,13.8858997,14.0631995,38944400,13.9826001,13.7719995,13.7747998,13.7747998,14.0405005,43507900,14.0405005
103,13.9826001,13.9835999,13.9807996,14.0445996,38456300,14.0038,14.0405005,14.0006006,13.5990002,14.0006006,47716600,13.6068005
104,14.0038,13.9962,13.7779004,13.9962,37143200,13.8567004,13.6068005,13.6082996,13.5062,13.7063,44045700,13.6176001
105,13.8567004,13.8642004,13.7012,13.9312,43963800,13.7765002,13.6176001,13.5897998,13.5156006,13.6683997,46350700,13.5843994
106,13.7765002,13.7626001,13.7173999,13.8818005,43386400,13.7719995,13.5843994,13.5708997,13.3546997,13.5708997,47799800,13.3548999
107,13.7719995,13.7747998,13.7747998,14.0405005,43507900,14.0405005,13.3548999,13.3578003,13.3129004,13.5303003,47342400,13.3987
108,14.0405005,14.0006006,13.5990002,14.0006006,47716600,13.6068005,13.3987,13.4181006,13.4170996,13.6003003,40804200,13.6003003
109,13.6068005,13.6082996,13.5062,13.7063,44045700,13.6176001,13.6003003,13.5884998,13.5206995,13.6469995,37069400,13.6014001
110,13.6176001,13.5897998,13.5156006,13.6683997,46350700,13.5843994,13.6014001,13.6070996,13.5054004,13.6658997,38019600,13.5093005
111,13.5843994,13.5708997,13.3546997,13.5708997,47799800,13.3548999,13.5093005,13.4958997,13.3340002,13.4958997,45735700,13.3781006
112,13.3548999,13.3578003,13.3129004,13.5303003,47342400,13.3987,13.3781006,13.3689001,13.305,13.4766003,48116700,13.4282996
113,13.3987,13.4181006,13.4170996,13.6003003,40804200,13.6003003,13.4282996,13.4102002,13.1445996,13.4102002,53249000,13.1793005
114,13.6003003,13.5884998,13.5206995,13.6469995,37069400,13.6014001,13.1793005,13.1977002,13.1531006,13.2378003,41863700,13.18
